"Sensitivity","Precision","T_coverage","N_coverage","VAF","BND_threshold","RUN","REP","Caller"
0.802142857142857,0.967355096602265,20,75,0.5,150,"RUN1","SVEngine1","Manta"
0.802142857142857,0.967355096602265,20,75,0.5,200,"RUN1","SVEngine1","Manta"
0.836428571428571,0.93184634448575,20,75,0.8,2,"RUN1","SVEngine1","Manta"
0.855,0.956848030018762,20,75,0.8,5,"RUN1","SVEngine1","Manta"
0.858571428571429,0.958775765146783,20,75,0.8,50,"RUN1","SVEngine1","Manta"
0.862142857142857,0.959501557632399,20,75,0.8,100,"RUN1","SVEngine1","Manta"
0.862142857142857,0.960099750623441,20,75,0.8,150,"RUN1","SVEngine1","Manta"
0.862142857142857,0.960099750623441,20,75,0.8,200,"RUN1","SVEngine1","Manta"
0.852857142857143,0.927615571776156,20,75,1,2,"RUN1","SVEngine1","Manta"
0.87,0.950306748466258,20,75,1,5,"RUN1","SVEngine1","Manta"
0.872142857142857,0.952176578786021,20,75,1,50,"RUN1","SVEngine1","Manta"
0.876428571428571,0.952351863164325,20,75,1,100,"RUN1","SVEngine1","Manta"
0.876428571428571,0.952351863164325,20,75,1,150,"RUN1","SVEngine1","Manta"
0.876428571428571,0.952933985330073,20,75,1,200,"RUN1","SVEngine1","Manta"
0.0228571428571429,0.811594202898551,20,90,0.05,2,"RUN1","SVEngine1","Manta"
0.0228571428571429,0.811594202898551,20,90,0.05,5,"RUN1","SVEngine1","Manta"
0.0228571428571429,0.811594202898551,20,90,0.05,50,"RUN1","SVEngine1","Manta"
0.0257142857142857,0.869565217391304,20,90,0.05,100,"RUN1","SVEngine1","Manta"
0.0257142857142857,0.9375,20,90,0.05,150,"RUN1","SVEngine1","Manta"
0.0257142857142857,0.967741935483871,20,90,0.05,200,"RUN1","SVEngine1","Manta"
0.106428571428571,0.792682926829268,20,90,0.1,2,"RUN1","SVEngine1","Manta"
0.11,0.815950920245399,20,90,0.1,5,"RUN1","SVEngine1","Manta"
0.114285714285714,0.842592592592593,20,90,0.1,50,"RUN1","SVEngine1","Manta"
0.125,0.900311526479751,20,90,0.1,100,"RUN1","SVEngine1","Manta"
0.126428571428571,0.954248366013072,20,90,0.1,150,"RUN1","SVEngine1","Manta"
0.126428571428571,0.979865771812081,20,90,0.1,200,"RUN1","SVEngine1","Manta"
0.36,0.827886710239651,20,90,0.2,2,"RUN1","SVEngine1","Manta"
0.365714285714286,0.848351648351648,20,90,0.2,5,"RUN1","SVEngine1","Manta"
0.388571428571429,0.900780379041249,20,90,0.2,50,"RUN1","SVEngine1","Manta"
0.407857142857143,0.951302378255946,20,90,0.2,100,"RUN1","SVEngine1","Manta"
0.414285714285714,0.974741676234214,20,90,0.2,150,"RUN1","SVEngine1","Manta"
0.414285714285714,0.978110599078341,20,90,0.2,200,"RUN1","SVEngine1","Manta"
0.755714285714286,0.921490352628077,20,90,0.5,2,"RUN1","SVEngine1","Manta"
0.767857142857143,0.942876344086022,20,90,0.5,5,"RUN1","SVEngine1","Manta"
0.783571428571429,0.958333333333333,20,90,0.5,50,"RUN1","SVEngine1","Manta"
0.799285714285714,0.967267869071476,20,90,0.5,100,"RUN1","SVEngine1","Manta"
0.799285714285714,0.967267869071476,20,90,0.5,150,"RUN1","SVEngine1","Manta"
0.799285714285714,0.967267869071476,20,90,0.5,200,"RUN1","SVEngine1","Manta"
0.839285714285714,0.932014833127318,20,90,0.8,2,"RUN1","SVEngine1","Manta"
0.857857142857143,0.956955708047411,20,90,0.8,5,"RUN1","SVEngine1","Manta"
0.861428571428571,0.958878504672897,20,90,0.8,50,"RUN1","SVEngine1","Manta"
0.864285714285714,0.959577114427861,20,90,0.8,100,"RUN1","SVEngine1","Manta"
0.864285714285714,0.960174237710019,20,90,0.8,150,"RUN1","SVEngine1","Manta"
0.864285714285714,0.960174237710019,20,90,0.8,200,"RUN1","SVEngine1","Manta"
0.853571428571429,0.928223844282238,20,90,1,2,"RUN1","SVEngine1","Manta"
0.869285714285714,0.949693251533742,20,90,1,5,"RUN1","SVEngine1","Manta"
0.871428571428571,0.951563458001226,20,90,1,50,"RUN1","SVEngine1","Manta"
0.875,0.951711491442543,20,90,1,100,"RUN1","SVEngine1","Manta"
0.875,0.951711491442543,20,90,1,150,"RUN1","SVEngine1","Manta"
0.875,0.952293577981651,20,90,1,200,"RUN1","SVEngine1","Manta"
0.04,0.824427480916031,30,15,0.05,2,"RUN1","SVEngine1","Manta"
0.0407142857142857,0.83206106870229,30,15,0.05,5,"RUN1","SVEngine1","Manta"
0.0414285714285714,0.846153846153846,30,15,0.05,50,"RUN1","SVEngine1","Manta"
0.0421428571428571,0.895161290322581,30,15,0.05,100,"RUN1","SVEngine1","Manta"
0.0428571428571429,0.925619834710744,30,15,0.05,150,"RUN1","SVEngine1","Manta"
0.0435714285714286,0.991228070175439,30,15,0.05,200,"RUN1","SVEngine1","Manta"
0.191428571428571,0.822299651567944,30,15,0.1,2,"RUN1","SVEngine1","Manta"
0.195,0.837127845884413,30,15,0.1,5,"RUN1","SVEngine1","Manta"
0.202142857142857,0.878354203935599,30,15,0.1,50,"RUN1","SVEngine1","Manta"
0.213571428571429,0.939226519337017,30,15,0.1,100,"RUN1","SVEngine1","Manta"
0.215,0.971537001897533,30,15,0.1,150,"RUN1","SVEngine1","Manta"
0.215714285714286,0.980879541108987,30,15,0.1,200,"RUN1","SVEngine1","Manta"
0.481428571428571,0.854656222802437,30,15,0.2,2,"RUN1","SVEngine1","Manta"
0.494285714285714,0.878947368421053,30,15,0.2,5,"RUN1","SVEngine1","Manta"
0.520714285714286,0.914687774846086,30,15,0.2,50,"RUN1","SVEngine1","Manta"
0.555,0.96031746031746,30,15,0.2,100,"RUN1","SVEngine1","Manta"
0.559285714285714,0.97335701598579,30,15,0.2,150,"RUN1","SVEngine1","Manta"
0.559285714285714,0.975957257346394,30,15,0.2,200,"RUN1","SVEngine1","Manta"
0.767857142857143,0.941610738255034,30,15,0.5,2,"RUN1","SVEngine1","Manta"
0.787142857142857,0.968834688346883,30,15,0.5,5,"RUN1","SVEngine1","Manta"
0.790714285714286,0.97291807718348,30,15,0.5,50,"RUN1","SVEngine1","Manta"
0.795,0.975,30,15,0.5,100,"RUN1","SVEngine1","Manta"
0.795,0.975,30,15,0.5,150,"RUN1","SVEngine1","Manta"
0.795,0.975,30,15,0.5,200,"RUN1","SVEngine1","Manta"
0.825,0.935179358086847,30,15,0.8,2,"RUN1","SVEngine1","Manta"
0.844285714285714,0.961245235069886,30,15,0.8,5,"RUN1","SVEngine1","Manta"
0.846428571428571,0.96256345177665,30,15,0.8,50,"RUN1","SVEngine1","Manta"
0.85,0.963291139240506,30,15,0.8,100,"RUN1","SVEngine1","Manta"
0.85,0.963291139240506,30,15,0.8,150,"RUN1","SVEngine1","Manta"
0.85,0.963291139240506,30,15,0.8,200,"RUN1","SVEngine1","Manta"
0.852857142857143,0.921592279855247,30,15,1,2,"RUN1","SVEngine1","Manta"
0.872857142857143,0.947048082775411,30,15,1,5,"RUN1","SVEngine1","Manta"
0.874285714285714,0.948296836982968,30,15,1,50,"RUN1","SVEngine1","Manta"
0.876428571428571,0.948391013964784,30,15,1,100,"RUN1","SVEngine1","Manta"
0.876428571428571,0.948391013964784,30,15,1,150,"RUN1","SVEngine1","Manta"
0.876428571428571,0.950121654501217,30,15,1,200,"RUN1","SVEngine1","Manta"
0.0507142857142857,0.821192052980132,30,30,0.05,2,"RUN1","SVEngine1","Manta"
0.0514285714285714,0.827814569536424,30,30,0.05,5,"RUN1","SVEngine1","Manta"
0.0521428571428571,0.84,30,30,0.05,50,"RUN1","SVEngine1","Manta"
0.0535714285714286,0.888888888888889,30,30,0.05,100,"RUN1","SVEngine1","Manta"
0.0542857142857143,0.928057553956835,30,30,0.05,150,"RUN1","SVEngine1","Manta"
0.055,0.984848484848485,30,30,0.05,200,"RUN1","SVEngine1","Manta"
0.221428571428571,0.834138486312399,30,30,0.1,2,"RUN1","SVEngine1","Manta"
0.225714285714286,0.849514563106796,30,30,0.1,5,"RUN1","SVEngine1","Manta"
0.232857142857143,0.887973640856672,30,30,0.1,50,"RUN1","SVEngine1","Manta"
0.245,0.944256756756757,30,30,0.1,100,"RUN1","SVEngine1","Manta"
0.246428571428571,0.973958333333333,30,30,0.1,150,"RUN1","SVEngine1","Manta"
0.247142857142857,0.982517482517482,30,30,0.1,200,"RUN1","SVEngine1","Manta"
0.527142857142857,0.859016393442623,30,30,0.2,2,"RUN1","SVEngine1","Manta"
0.54,0.881915772089182,30,30,0.2,5,"RUN1","SVEngine1","Manta"
0.567857142857143,0.917218543046358,30,30,0.2,50,"RUN1","SVEngine1","Manta"
0.603571428571429,0.961825726141079,30,30,0.2,100,"RUN1","SVEngine1","Manta"
0.607857142857143,0.973266499582289,30,30,0.2,150,"RUN1","SVEngine1","Manta"
0.607857142857143,0.97571189279732,30,30,0.2,200,"RUN1","SVEngine1","Manta"
0.831428571428571,0.929682638456752,30,30,0.5,2,"RUN1","SVEngine1","Manta"
0.852142857142857,0.956057752667922,30,30,0.5,5,"RUN1","SVEngine1","Manta"
0.855714285714286,0.959849435382685,30,30,0.5,50,"RUN1","SVEngine1","Manta"
0.86,0.961803381340013,30,30,0.5,100,"RUN1","SVEngine1","Manta"
0.86,0.961803381340013,30,30,0.5,150,"RUN1","SVEngine1","Manta"
0.86,0.961803381340013,30,30,0.5,200,"RUN1","SVEngine1","Manta"
0.856428571428571,0.919064748201439,30,30,0.8,2,"RUN1","SVEngine1","Manta"
0.875714285714286,0.944309927360775,30,30,0.8,5,"RUN1","SVEngine1","Manta"
0.878571428571429,0.946191051995163,30,30,0.8,50,"RUN1","SVEngine1","Manta"
0.881428571428571,0.94692400482509,30,30,0.8,100,"RUN1","SVEngine1","Manta"
0.881428571428571,0.94692400482509,30,30,0.8,150,"RUN1","SVEngine1","Manta"
0.881428571428571,0.94692400482509,30,30,0.8,200,"RUN1","SVEngine1","Manta"
0.862857142857143,0.911504424778761,30,30,1,2,"RUN1","SVEngine1","Manta"
0.882142857142857,0.935714285714286,30,30,1,5,"RUN1","SVEngine1","Manta"
0.883571428571429,0.936942296252231,30,30,1,50,"RUN1","SVEngine1","Manta"
0.885714285714286,0.937054631828979,30,30,1,100,"RUN1","SVEngine1","Manta"
0.885714285714286,0.937054631828979,30,30,1,150,"RUN1","SVEngine1","Manta"
0.885714285714286,0.938726948245092,30,30,1,200,"RUN1","SVEngine1","Manta"
0.055,0.825806451612903,30,45,0.05,2,"RUN1","SVEngine1","Manta"
0.0564285714285714,0.838709677419355,30,45,0.05,5,"RUN1","SVEngine1","Manta"
0.0564285714285714,0.844155844155844,30,45,0.05,50,"RUN1","SVEngine1","Manta"
0.0571428571428571,0.891156462585034,30,45,0.05,100,"RUN1","SVEngine1","Manta"
0.0578571428571429,0.929577464788732,30,45,0.05,150,"RUN1","SVEngine1","Manta"
0.0585714285714286,0.985185185185185,30,45,0.05,200,"RUN1","SVEngine1","Manta"
0.227142857142857,0.833070866141732,30,45,0.1,2,"RUN1","SVEngine1","Manta"
